FechaInventario,GLN_Cliente,GLN_Sucursal,Gtin_Producto,Inventario_Final,PrecioUnidad
8/18/2022,15389609,16067405,15121845,14,15
1/25/2022,16155312,15788251,15157371,12,61
6/30/2022,15982652,16146336,15297722,11,1
9/6/2022,15998293,15601297,15230779,8,4
10/9/2022,15350501,16075384,15134324,15,91
10/18/2021,15221251,15386968,15688099,15,6
11/8/2021,16023483,16150943,15383512,6,96
9/16/2022,15918600,15146925,15399509,18,81
7/25/2022,15581315,15333615,15520991,8,81
9/17/2022,15527376,15144835,15520885,6,49
11/30/2021,15255512,15829695,15250102,1,35
3/23/2022,15584822,16130095,15154383,20,98
2/15/2022,15170878,15838167,15890373,16,25
5/1/2022,15416475,15811704,15396844,8,27
4/25/2022,15694694,15574334,15801212,10,94
1/17/2022,15421422,16038802,15326314,6,49
5/30/2022,15663743,16072032,16044921,9,95
6/10/2022,15586033,16160863,15307488,3,57
11/22/2021,15301968,15821196,15346885,18,46
5/27/2022,15258470,16073382,15357509,8,62
